Number,File_name,NOA,NOAC,Edges,Diameter,CW,DeltaSJX,CNC,dC_avg,dC_max,Separability,Sequentiality,Depth,CH,CFC,CYC,TS,FI,FO,F_in,F_out,F_(I+O),PL,PV,PD, DFC,IC,OC,Ma,Mb,Ms,Me,output redundancy,output lost,input missing,nonportable,partially_portable
46,SeleccionarServiciosStep,7,8,6,7,11,0.143,0.857,0,0,1,1,1,0,7,0,0,1,2,6,6,12,15.51,36.496,1,0.667,1,0.667,0.95473251,0.881679389,0.933333333,0.912637829,1,0,0,1,0
47,TaxiServiceProvider,18,30,29,22,42,0.045,1.115,3,3,0.333,0.483,6,0.5,224,0.462,0,1,4,19,14,33,48.729,180,9.9,1,1,1,0.918518519,0.867924528,0.972222222,0.94129979,0,1,0,1,0
48,TravelReservationService,25,46,48,36,68,0.024,1.067,2.4,3,0.163,0.083,7,0.648,155,0,2,1,6,20,22,42,64.913,267.619,7.5,0.786,1,0.786,0.866666667,0.760869565,1,0.816425121,1,1,0,1,0
49,UserActivationProcess,5,7,4,5,9,0.2,0.8,0,0,1,1,2,0,5,0,0,1,1,4,4,8,8,23.219,1,1,1,1,1,0.88,1,0.893333333,0,0,0,1,0
50,WorkoutProcess,14,22,25,17,37,0.054,1.136,3,3,0.25,0.44,7,0,545,0.682,0,1,7,11,17,28,74.242,155.589,2.471,0.588,1,0.588,0.865079365,0.818181818,1,0.931818182,1,0,0,1,0
51,LoanApprovalProcess,12,19,17,12,25,0.071,1.063,3,3,0.214,0.353,5,0,29,0,0,1,3,11,13,24,17.51,93,4,1,1,1,0.868686869,0.769230769,1,0.903133903,1,0,0,1,0
52,loanApprovalProcess1,6,10,11,8,16,0.122,1.1,3,3,0.25,0,4,0,14,0,0,1,3,6,5,11,6.755,34.829,3.667,1,1,1,1,0.857142857,1,0.873015873,0,0,0,1,0
53,marketplace,6,9,11,9,15,0.122,1.1,3,3,0.5,0.091,2,0.5,10,0,2,2,0,4,4,8,9.51,28.435,4,1,1,1,1,0.966666667,1,0.97037037,0,0,0,1,0
54,MetaSearch,38,73,82,43,97,0.018,1.206,3,3,0.061,0.134,11,0.31,1310,0.544,4,1,2,57,39,96,103.848,615.758,11.429,1,1,1,0.968888889,0.877777778,1,0.941975309,1,1,1,1,0
55,MetaSearch2,34,71,81,43,97,0.018,1.191,2.8,3,0.061,0.099,11,0.283,610,0,4,1,2,47,33,80,86.668,529.257,11.111,1,1,1,0.991111111,0.98,1,0.997777778,1,1,1,0,0
56,ProcesoAprobadorPrestamo,11,18,17,42,24,0.063,1,2.333,3,0.333,0.294,5,0,14,0,0,1,2,9,12,21,21.651,88.758,3,1,1,1,0.981481481,0.846153846,1,0.877136752,1,1,0,1,0
57,shippingService,7,13,12,9,18,0.109,1.091,3,3,0.111,0.5,5,0,19,0.273,0,1,2,11,5,16,9.51,56.869,8,1,1,1,0.974358974,0.818181818,1,0.852974186,0,0,0,1,0
58,squaresSum,6,10,8,11,13,0.143,1,0,0,0.5,0.75,3,0,9,0,0,1,0,7,6,13,12.755,47.725,4.875,1,1,1,0.98989899,0.978873239,1,0.997652582,0,0,0,0,0
59,AmazonFlow,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.974910394,0.774193548,1,0.828853047,0,0,0,1,0
60,ATM,13,23,25,17,35,0.06,1.19,3.5,4,0.316,0.32,7,0,4784,0.619,0,1,1,9,14,23,41.219,125.643,4.6,0.5,0.833,0.556,0.474747475,0.240687679,1,0.342566062,1,0,1,1,0
61,auctionService,10,15,15,14,24,0.082,1.071,3,3,0.5,0.333,3,0,24,0,4,2,3,5,4,9,17.51,42,1.5,0.333,0.4,0.667,0.944444444,0.882653061,0.844444444,0.907029478,1,1,1,1,0
62,BankTransferFlow,9,14,8,9,18,0.111,0.889,0,0,1,1,3,0,9,0,0,1,3,7,8,15,26,66.439,1.875,0.625,1,0.625,1,0.923076923,1,0.931623932,1,0,0,1,0
63,CheckoutFlow,14,15,13,14,21,0.071,0.929,0,0,1,1,1,0,14,0,0,1,2,13,12,25,33.219,89.945,1.25,1,1,1,1,0.928571429,1,0.936507937,0,0,0,1,0
64,DIMERequester,4,5,3,4,7,0.25,0.75,0,0,1,1,1,0,4,0,0,1,1,3,2,5,4.755,12,0.833,0.667,0.667,1,1,0.928571429,1,0.936507937,0,0,1,1,0
65,DocumentReview,25,49,32,29,62,0.034,1.032,2.667,3,0.828,0.531,5,0,29,0,0,1,6,31,31,62,63.358,358.614,6.2,0.867,0.929,0.929,0.975308642,0.810810811,0.925925926,0.84984985,1,1,1,1,0
66,dslservice,10,14,15,13,24,0.082,1.071,3,3,0,0.333,4,0.5,36,0,2,2,4,10,9,19,28.755,79.567,3.563,1,1,1,1,0.8125,1,0.833333333,0,0,0,1,0
67,HelpDeskServiceRequest,17,32,25,21,42,0.049,1.087,3,4,0.524,0.44,6,0,28,0.304,0,1,3,25,17,42,32,204.343,10.5,1,1,1,0.898148148,0.825581395,0.805555556,0.861757106,1,0,0,1,0
68,HotwireFlow,12,19,18,13,25,0.075,1.125,3.5,4,0.643,0.222,3,0.5,32,0,0,1,1,5,11,16,19.61,72.908,6.4,0.6,1,0.6,1,0.68,1,0.715555556,1,0,0,1,0
69,loanApprovalProcess,5,6,10,7,12,0.238,1.429,6,6,0,0,1,0,-5,0,5,1,2,3,4,7,4.755,16,1.167,1,1,1,0.992063492,0.894736842,1,0.926900585,0,1,0,1,0
70,LoanFlow,12,22,17,15,31,0.071,1.063,3,3,0.571,0.353,4,0.5,26,0,2,1,3,11,9,20,27.651,103.783,5.714,1,1,1,0.893162393,0.89380531,0.911111111,0.975417896,0,0,0,0,1
71,LoanFlowPlus,21,36,26,24,47,0.043,1.04,3,3,0.739,0.577,4,0.5,35,0,2,1,5,21,17,38,56.106,216.636,5.846,1,1,1,0.912698413,0.909090909,0.911111111,0.972222222,1,0,0,,0
72,OrderApproval,18,34,26,20,44,0.047,1.083,3,4,0.455,0.462,7,0,34,0.25,0,1,3,17,18,35,19.61,161.666,14,1,1,1,0.952380952,0.925,0.911111111,0.983333333,1,0,1,0,1
73,PayFlow,8,12,12,7,16,0.133,1.2,5,5,0.5,0.167,3,0,5,0,0,1,1,4,7,11,20.265,47.549,2.75,0.667,1,0.667,0.871794872,0.876923077,0.904761905,0.973504274,1,0,0,0,1
74,simple,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.871794872,0.876923077,0.904761905,0.973504274,0,0,0,0,1
75,TimeOffRequestFlow,14,22,16,15,28,0.067,1,3,3,0.786,0.625,4,0,17,0,0,1,3,12,9,21,24.406,96.336,4.5,1,1,1,0.896825397,0.85915493,0.911111111,0.979655712,0,1,0,0,1
76,VacationRequest,14,24,17,12,29,0.071,1.063,4,4,0.571,0.529,3,0,26,0,0,1,2,11,14,25,16.365,105,7.5,0.8,1,0.8,1,0.974358974,1,0.977207977,1,0,0,1,0
77,behExaminerComplete,4,7,3,4,8,0.25,0.75,0,0,1,1,2,0,4,0,0,1,1,3,4,6,10,23.265,1.5,0.75,1,1,0.954248366,0.843220339,0.87037037,0.876647834,1,0,0,1,0
78,ClientInterface_0001,9,10,8,9,12,0.111,0.889,0,0,1,1,1,0,9,0,0,1,1,8,8,16,24,53.889,1,0.875,0.875,1,0.965079365,0.892655367,0.944444444,0.917765223,0,0,1,1,0
79,NhincComponentInternalDocRetrieve,11,16,12,13,22,0.077,0.923,2,2,0.364,0.667,4,0,11,0,0,1,4,11,10,21,37.974,96.211,3.15,1,1,1,0.993055556,0.864864865,1,0.900900901,0,0,1,1,0
80,AggregatedCatalog,5,7,7,7,13,0.167,1,3,3,0.6,0.143,2,0,7,0,2,1,2,5,4,9,17.51,33,1.5,0.5,0.6,0.75,0.988304094,0.879310345,1,0.932950192,1,0,1,1,0
81,AggregationTutorial,7,11,9,9,15,0.125,1,0,0,0.429,0.778,3,0,11,0.444,0,1,1,11,7,18,20.265,69.738,4.5,1,1,1,1,0.923076923,1,0.931623932,0,0,0,1,0
82,AggregationTutorialFlowN,3,11,2,3,15,0.333,0.667,0,0,1,1,1,0,14,0,0,1,0,6,6,12,4.755,26,2,0.8,0.8,1,1,0.923076923,1,0.931623932,0,0,0,1,0
83,Alarms,6,9,5,6,11,0.167,0.833,0,0,1,1,2,0,6,0,0,1,1,4,4,8,10,28.435,2,1,1,1,1,0.923076923,1,0.931623932,0,0,0,1,0
84,Assertions,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.982905983,0.774193548,1,0.82078853,0,0,0,1,0
85,AsyncBPELService,11,14,13,12,19,0.083,1,3,3,0.273,0.538,3,0,19,0,0,1,2,5,4,9,6.755,27.863,3,1,1,1,1,0.974358974,1,0.977207977,0,0,0,1,0
86,AsyncSleepService,4,5,3,4,6,0.25,0.75,0,0,1,1,1,0,4,0,0,1,0,2,2,4,2,7.925,1,1,1,1,1,0.5,1,0.555555556,0,0,0,1,0
87,AsyncSubProcess,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,1,1,1,1,0,0,0,0,0
88,AutoLoanFlow,23,34,26,23,40,0.043,1.04,4,4,0.87,0.692,3,0,29,0,0,1,3,19,22,41,47.774,203.158,5.125,0.917,1,0.917,0.962962963,0.482758621,1,0.588505747,1,0,0,1,0
89,AxisFlow,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.916666667,0.897959184,0.955555556,0.965986395,0,0,0,1,0
90,BankTransferFlow,7,9,6,7,12,0.143,0.857,0,0,1,1,2,0,7,0,0,1,2,5,6,11,15.51,36.496,0.917,0.667,1,0.667,0.994152047,0.970588235,1,0.996732026,1,0,0,0,0
91,BatchOrderProcessing,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.962962963,0.939393939,0.962962963,0.986531987,0,0,0,0,1
92,BusinessTravelProcess,11,16,16,14,25,0.076,1.067,3,3,0.538,0.313,3,0.5,25,0,2,1,3,11,8,19,24.406,79.726,4.071,1,1,1,1,0.954545455,1,0.95959596,0,0,0,1,0
93,Buyer,4,5,3,4,7,0.25,0.75,0,0,1,1,1,0,4,0,0,1,1,2,2,4,2,7.925,1,1,1,1,0.985507246,0.9,1,0.935185185,0,0,0,1,0
94,CobolCopyBook,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.974537037,0.902857143,1,0.952380952,0,0,0,1,0
95,CreditRatingService,5,9,7,5,13,0.167,1,3,3,0.2,0.286,3,0,9,0,0,1,0,3,3,6,6.755,23.219,2,1,1,1,0.888888889,0.384937238,0.930555556,0.50209205,0,0,0,1,0
96,CRMService,4,8,6,4,12,0.2,1,3,3,0,0.333,3,0,12,0,0,2,0,2,4,6,6.755,23.219,2,0.667,1,0.667,0.841880342,0.271777003,0.944444444,0.365079365,1,0,0,1,0
97,DB_MasterDetail,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.83127572,0.304216867,0.944444444,0.398594378,0,0,0,1,0
98,Debatching,4,6,6,5,9,0.2,1,3,3,0.5,0,2,0,6,0,0,1,0,3,3,6,4,16,3,1,1,1,1,0.766666667,1,0.792592593,0,0,0,1,0
99,DetailSecuredProcess,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,1,0.989010989,1,0.99023199,0,0,0,1,0
100,DirectSQLPerformance,4,5,3,4,7,0.25,0.75,0,0,1,1,1,0,4,0,0,1,1,3,2,5,4.755,12,0.833,0.667,0.667,1,0.913580247,0.90625,0.833333333,0.975694444,0,0,1,0,1
101,DocumentReview,9,16,12,9,20,0.109,1.091,4,4,0.667,0.333,3,0,15,0,0,1,1,7,9,16,16.365,69,4.8,0.8,1,0.8,1,0.954545455,1,0.95959596,1,1,1,1,0
102,DynamicPartnerLink,9,11,12,9,15,0.109,1.091,4,4,0.667,0.333,2,0,15,0,0,1,1,5,4,9,10,28.435,2.25,1,1,1,0.934156379,0.873205742,0.955555556,0.984582669,0,0,0,0,1
103,DynamicSyncRead,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,11.61,23.265,0.8,0.6,0.6,0.75,0.925925926,0.855,0.955555556,0.980833333,0,0,1,0,1
104,DynPL_JNDI,13,14,12,13,18,0.077,0.923,0,0,1,1,1,0,13,0,0,1,3,5,2,7,2,12.68,1.75,1,1,1,1,0.9375,1,0.944444444,0,0,0,1,0
105,DynPL_NonMng,10,11,9,10,14,0.1,0.9,0,0,1,1,1,0,10,0,0,1,2,4,2,6,2,11.095,1.5,1,1,1,1,0.76744186,1,0.793281654,0,0,0,1,0
106,Employee,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,1,2,3,2,6.34,0.75,0.5,1,0.5,1,0.833333333,1,0.851851852,1,0,0,1,0
107,Emulations,8,9,7,8,12,0.125,0.875,0,0,1,1,1,0,8,0,0,1,2,6,6,12,15.51,36.496,1,1,1,1,1,0.952380952,1,0.957671958,0,0,0,1,0
108,ExpenseRequest,16,25,19,16,30,0.062,1.056,4,4,0.813,0.579,3,0,22,0,0,1,2,15,19,34,47.774,167.996,4.25,0.75,0.818,0.9,0.965259833,0.957777778,1,0.981481481,1,0,1,1,0
109,ExternalCalls,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.952380952,0.895238095,1,0.935449735,0,0,0,1,0
110,File2AQBLOB,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.957671958,0.895833333,1,0.930555556,0,0,0,1,0
111,File2StoredProcedure,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.975,0.925581395,1,0.947803618,0,0,0,1,0
112,FlakyPriceProvider,6,10,8,6,14,0.143,1,3,3,0.333,0.375,3,0,10,0,0,1,0,4,4,8,10,31.02,2,1,1,1,0.972746331,0.878151261,1,0.904295051,0,0,0,1,0
113,FlatStructure,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.981981982,0.908571429,1,0.927619048,0,0,0,1,0
114,FreeShippingPriceProvider,9,13,11,10,17,0.1,1,3,3,0.778,0.455,2,0,11,0,0,1,1,4,8,12,16.365,48,3.6,0.6,1,0.6,1,0.441860465,1,0.503875969,1,0,0,1,0
115,FTPDebatching,4,6,6,5,9,0.2,1,3,3,0.5,0,2,0,6,0,0,1,0,3,3,6,4,16,3,1,1,1,1,0.947368421,1,0.953216374,0,0,0,1,0
116,FulFillOrders,6,10,8,8,14,0.143,1,0,0,0.667,0.75,3,0,8,0.25,0,1,1,5,4,9,12.755,36.496,3.375,0.75,0.75,1,0.935672515,0.828282828,0.805555556,0.861952862,0,0,1,1,0
