proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f10,ga,0,1,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683
f10,ibea,0,1,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683
f10,nsga2,0,1,0.4,0.07692307692307693,0.6666666666666666,0.3333333333333333,0.9230769230769231,0.5,0.6282051282051282,0.5547001962252291,0.8125,0.6546536707079771,0.5254678070943142
f10,nsga3,0,1,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683
f10,rs,0,1,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683
f10,spea2,0,1,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683
f1,ga,1,1,0.4444444444444445,0.3125,0.0,1.0,0.6875,0.2857142857142857,0.84375,0.82915619758885,0.7222222222222222,0.5345224838248488,0.7790291308792039
f1,ibea,1,1,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408
f1,nsga2,1,1,0.6666666666666666,0.125,0.0,1.0,0.875,0.5,0.9375,0.9354143466934853,0.8888888888888888,0.7071067811865476,0.9116116523516815
f1,nsga3,1,1,0.6666666666666666,0.125,0.0,1.0,0.875,0.5,0.9375,0.9354143466934853,0.8888888888888888,0.7071067811865476,0.9116116523516815
f1,rs,1,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f1,spea2,1,1,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408
f2,ga,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8333333333333334,0.0,0.29289321881345254
f2,ibea,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8333333333333334,0.0,0.29289321881345254
f2,nsga2,2,1,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683
f2,nsga3,2,1,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683
f2,rs,2,1,0.2857142857142857,1.0,0.0,1.0,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.29289321881345254
f2,spea2,2,1,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683
